name,description,0,1,2,3,4,5,6
宏亞食品巧克力觀光工廠,宏亞食品巧克力觀光工廠是一座以巧克力為主題的觀光工廠，建築設計、展場文字、陳列物、戶外景觀及相關造型皆與巧克力密不可分，全棟為綠建築，展場設計依照建築外觀之透光與否進行規劃，節能省碳，此外，展場更提供豐富的巧克力相關知識(含巧克力3500年歷史)為一寓教於樂之專業型廠館，是休閒娛樂絕佳去處。,1,0,0,0,0,0,0
台灣金屬創意館,台灣金屬創意館為第一座金屬造型觀光工廠，來這裡可讓大家看到並觸摸到金屬柔軟的一面，館區內充滿各種金屬的驚奇與創意，是一個極具觀光、休閒、知性與文化的好地方。台灣金屬創意館為志鋼金屬股份有限公司創立之品牌，志鋼金屬是由六位志同道合的的好朋友攜手創立，1995年成立之時，即專注於板金鋼鐵加工上，因而將公司命名為志鋼金屬，十多年來，六人同心協力使公司一路成長茁壯。2010年，本著創新、突破、品牌、回饋之思維，決議推動工廠觀光化，將製造業與服務業結合，打造全國第一座板金觀光工廠。2013年正式通過觀光工廠評鑑，成立台灣金屬創意文化館。志鋼金屬為專業板金製造廠，一貫化生產流程讓參觀者可在志鋼看到完整的流程，由雷射切割、自動沖孔機進行金屬板下料，再由電腦折床進行成形作業，接著由銲接部門已氬銲、CO2銲接或自動銲接系統進行銲接加工與研磨，之後由塗裝部門進行產品塗裝與印刷，最後由組立部門以手動或氣動工具進行產品組裝與包裝,1,0,0,0,0,1,0
菓葉觀日樓,菓葉村近年來成為欣賞日出的著名去處，是湖西鄉東側一個純樸的小漁村。「菓葉」是一種植物俗稱，它的學名稱為「黃槿」，早在明朝時，這裡就有一大片茂盛菓葉林，因此成為澎湖以植物命名的村落之一。菓葉日出與西嶼落霞齊名，村內東北方的小山丘上是欣賞日出的最佳地點。每年冬至菓葉村許姓祭祖活動保留傳統的「軟筵」習俗，與舊奎壁澳村莊有密切的社群互動以及村莊內的灰窯殘跡，也增添菓葉的樸質風貌。 在這個小村落內處處是觀賞日出的好地方，不同於高山層層雲海之日出景象，晨曦中的太陽彷彿從水中彈跳而出，而映出的紅霞，投射出各種彩度的紅，對應出菓葉日出的靜謐之美。「菓葉日出」與「西嶼落霞」同為澎湖兩大勝景，若想至菓葉觀日出景觀，建議必須於前一晚查詢日出時間，預留路程時間，由於日出時間相當短，應該提早出發，免得半夜從溫暖的被窩中爬起，卻無功而返喔！玩家秘笈站在菓葉的海邊眺望東方，當太陽升起，加上光線和雲層折射關係，往往會看到疑似高山城市的海市蜃樓的影像。,1,0,0,1,1,0,0
新光兆豐休閒農場,大眾運輸點此連結&gt;&gt;&gt;台灣好行-縱谷花蓮線資訊(時刻表/票價表)無障礙公車預約&gt;&gt;&gt;&gt;台灣好行無障礙預約資訊深受小朋友歡迎的新光兆豐休閒農場，設有多種遊樂設施、放牧區、生態鳥園、鸚鵡園等，來到這裡可看見孔雀在農場中漫步，並能夠近距離拿著奶瓶餵小牛，而廣大遼闊的青青草原可以讓人盡情跑跳，不僅如此，夏日還有開放戲水區，還能令大人小孩快樂地打水仗，度過歡樂的時光。被群山圍繞的兆豐農場，是一座水美草豐、生氣盎然的休閒渡假農場，鮮美的牧草生產出優質的鮮奶，製作出好吃的奶酪、鮮奶冰淇淋，廣受旅客的喜愛。除了吃鮮奶製作的甜點、看乳牛之外，這裡也有壯觀的歐式花園、一年四季皆呈現不同風情的花海，以及二子山溫泉，讓人享受多種的休閒活動。沿著農場中的步道騎著電動車或鐵馬，到動物區看討喜又可愛北美浣熊、台灣山羌，對植物有興趣的遊客，也可以在水生植物生態區、溫室、沙漠植物園及藥用植物園等區域，探尋頗具特色的各類植物，欣賞這裡迷人的風景，來趟精彩豐富的農場親子遊。,1,0,0,1,0,0,0
菸樓文化聚落,菸樓文化聚落是國際慢城-鳳林的特色之一，也是全臺保留最完整的菸樓群，外觀呈現和洋風格的菸樓，像是童話故事般會出現的建築。每逢農曆七月時，這裡開始舉辦鳳林菸樓迷路-百鬼夜行祭，不僅吸引各地觀光客、年輕人參加，也成為專屬鳳林菸樓的創意活動。菸樓建於日治時期，當時菸葉被稱作綠金，是高經濟價值的作物，菸樓的數量成為富裕程度的指標。菸樓的形式可分為大阪式與廣島式2種，而鳳林菸樓幾乎都是大阪式的。大阪式菸樓的排煙口凸出屋頂，既高且大，排煙效果較好，但是因為受風面較大，因此遇到颱風時容易被吹壞；廣島式菸樓則剛好相反，排煙口緊貼屋頂，雖然比較不怕颱風，卻容易發生火災。來到鳳林這座慢城小鎮，除了一嚐在地小吃、走走校長夢工廠之外，不妨走入大榮一村、二村，欣賞鳳林獨特的菸樓群，或是到菸樓圖書館，了解當年菸葉的風華歷史與文化。,1,0,0,0,0,0,0
布農部落休閒農場,結合布農族傳統藝術與文化的布農部落休閒農場，廣大的園區被規劃成表演區域、體驗學習空間與藝品工作坊。射箭、皮雕DIY、餵魚或是聆聽布農族的八部合音，品嘗在地當令時節的美食，到編織工坊欣賞布農族的織布技藝，在部落民宿住一晚，讓前來的遊客深刻體驗布農族的文化和生活。來到布農部落，絕不容錯過園區中部落劇場的表演，每天規劃上午10:30、下午14:00這兩場次，沒有過多裝飾的舞台，讓人可以坐在原木雕刻的椅子上，欣賞布農族的八部合音、傳統祭儀或是原住民創作歌曲，寬闊極具穿透力的嗓音，十分震撼人心。位在部落劇場後方的特產中心，提供了在地居民自製的檜木精油、竹炭、手工皂、小米酒等，以及充滿原民風格的創作藝品，令人眼睛為之一亮。而園區中處處擺放粗獷木雕作品，不論是咖啡屋或餐廳，皆有濃厚的原民風情，喝杯咖啡、點上一份餐點，享受悠閒怡然的假期。,1,0,0,0,0,1,0
山里車站與山里教堂,宛如與世隔絕的小小車站，坐落在三、四十幾戶的山里部落中，鮮少有人知道的山里車站，每天看著對號列車呼嘯而過，在作家劉克襄的筆下是一座「傳說中，到不了的車站」。孤寂而寧靜的山里車站，四周錯落幾處農田，在鐵路電氣化後依然服務每日為數不多的旅客，車站中的島式月台仍保持在東線鐵路拓建以前的風格，靜謐純樸的氛圍，加上作家的文章，深深吸引不少旅客與鐵道迷前往探訪這一座美麗的小車站。而在山裡車站附近的山里教堂，斑駁白色石牆的外觀，屋頂插著帶有滄桑感的紅色十字架，刻畫出歲月流淌的痕跡，如此小小一座教堂卻是當地的信仰中心，隨著山里車站爆紅，矗立在部落中的山里教堂，也變成遊客爭相拍照的景點，為安靜的山里部落帶來幾分熱鬧活潑的氣息。,1,0,1,0,0,0,0
富興森林小火車,富興社區為全臺最大的土鳳梨產地，每到7月至9月的鳳梨產季時，富興的鳳梨田中長滿一顆顆飽滿多汁的鳳梨，搭上輕軌小火車經過一望無際的鳳梨田，穿越樹林沿著幸福軌道抵達終點拍照留念，或是坐著農耕車牽引的列車，聽當地居民說著富興社區的故事，參觀爸爸去哪兒的1號房等拍攝地，最後再大口品嘗酸酸甜甜的土鳳梨、金鑽鳳梨，享受產地鮮採的甜美滋味。全長1314公尺的幸福軌道，是情侶、全家出遊拍照的地方，坐著富興森林小火車，邊聽司機介紹人造林生態、鳳梨的品種，到了520公尺便會停下來，讓人休息、下來走走，看看美麗的夢幻湖，留下美好的回憶。臨走前，不妨帶上新鮮好吃的鳳梨或農特產品回家吧！,1,0,0,1,0,0,0
東里車站與東里鐵馬驛站,每天平均約20人進出的東里車站，看似不起眼，卻被譽為「山線最美的車站」，一走進月台便被眼前的美景所吸引，整片無邊無際的綠色稻田映在眼前，小小的東里車站被圍繞在田野間，壯觀令人驚呼不已的田園景緻，深深吸引不少遊客前來探訪。東里鐵馬驛站前身為舊東里車站，也是玉富自行車道北上的起點，兩旁無垠的阡陌景致，是許多自行車友必拜訪站點之一，而東里鐵馬驛站中仍保留早期月台的風貌，舊時的復古情懷，加上花東縱谷的招牌景色，讓人能夠邊騎自行車邊欣賞田園美景。當太陽升起，陽光灑落在稻田上，翠綠的秧苗隨風搖曳，一波波綠色稻浪映入眼簾，再隨著季節變化，稻田由綠轉黃，空氣間瀰漫著稻香，騎著單車經過兩旁隨風搖擺的金色稻浪，細細感受東里車站與東里鐵馬驛站的靜謐與稻田的絕美風景。,1,0,1,1,0,0,0
吉蒸牧場,來到鮮奶產地的瑞穗，當然不容錯過到牧場品嘗鮮榨牛奶的滋味！在瑞穗共有兩間牧場，一處是廣為人知的瑞穗牧場，另一處便是位在秀姑巒溪泛舟遊客中心旁的吉蒸牧場，園區內擁有販售部、餐廳、可愛動物園區，少了一分喧囂氣息的牧場，讓旅人可以多享受一份清淨，靜靜遠眺秀姑巒溪，或是在溪畔旁漫步。與秀姑巒溪相伴的吉蒸牧場，將自產香醇濃郁的牛奶，製作成各種乳製品，在夏天來杯牛奶冰淇淋、鮮奶饅頭；在冬天大啖香濃的牛奶鍋，最後別忘了在園區內散步，餵食山羊、迷你馬等動物，體驗與自然相鄰的清幽。,1,0,0,0,0,0,0
